Time,Tibialis antelior,Gastrocnemius medialis
0.26,-0.013,-0.002
0.261,-0.012,-0.004
0.262,-0.023,-0.005
0.263,-0.021,-0.004
0.264,-0.021,-0.002
0.265,-0.022,-0.003
0.266,-0.024,-0.001
0.267,-0.014,0.005
0.268,-0.012,0.001
0.269,-0.011,-0.001
0.27,-0.006,0.0
0.271,0.0,0.0
0.272,0.006,0.001
0.273,0.005,0.0
0.274,0.008,0.001
0.275,0.009,0.0
0.276,0.016,0.001
0.277,0.022,0.0
0.278,0.022,0.0
0.279,0.026,0.001
0.28,0.035,0.0
0.281,0.044,-0.001
0.282,0.047,0.0
0.283,0.048,0.005
0.284,0.04,0.011
0.285,0.02,0.014
0.286,0.008,0.02
0.287,0.006,0.018
0.288,0.011,0.01
0.289,-0.008,0.003
0.29,-0.028,-0.001
0.291,-0.046,-0.002
0.292,-0.044,-0.002
0.293,0.0,-0.003
0.294,-0.009,-0.004
0.295,-0.017,-0.002
0.296,-0.002,-0.001
0.297,0.002,0.0
0.298,0.008,0.0
0.299,0.012,0.003
0.3,0.012,0.004
0.301,0.006,0.004
0.302,0.0,0.005
0.303,0.004,0.006
0.304,0.004,0.006
0.305,0.006,0.006
0.306,0.009,0.009
0.307,0.015,0.009
0.308,0.028,0.004
0.309,0.035,0.003
0.31,0.031,0.004
0.311,0.029,0.004
0.312,0.021,0.005
0.313,0.017,0.004
0.314,0.029,0.004
0.315,0.031,0.005
0.316,0.017,0.007
0.317,0.009,0.008
0.318,0.004,0.007
0.319,-0.027,0.006
0.32,-0.029,0.008
0.321,-0.034,0.006
0.322,-0.036,0.005
0.323,-0.016,0.006
0.324,-0.013,0.004
0.325,-0.003,0.003
0.326,0.0,0.005
0.327,-0.001,0.008
0.328,-0.001,0.005
0.329,0.002,0.003
0.33,0.006,0.003
0.331,0.009,0.007
0.332,0.008,0.006
0.333,0.01,0.007
0.334,0.011,0.009
0.335,0.018,0.006
0.336,0.019,0.008
0.337,0.017,0.007
0.338,0.014,0.007
0.339,0.011,0.006
0.34,0.006,0.007
0.341,-0.001,0.003
0.342,-0.01,0.003
0.343,-0.012,0.001
0.344,-0.006,0.003
0.345,0.0,0.004
0.346,0.0,0.005
0.347,-0.003,0.007
0.348,0.001,0.007
