,Time,Tibialis antelior,Gastrocnemius medialis
0,0.28,-0.034,-0.029
1,0.281,0.01,-0.005
2,0.282,0.025,0.004
3,0.283,0.013,0.002
4,0.284,0.015,0.0
5,0.285,0.009,0.0
6,0.286,0.006,0.0
7,0.287,0.011,0.0
8,0.288,0.011,-0.001
9,0.289,0.015,0.0
10,0.29,0.009,-0.001
11,0.291,0.01,0.002
12,0.292,0.006,0.0
13,0.293,0.006,0.0
14,0.294,0.001,-0.006
15,0.295,0.0,-0.002
16,0.296,-0.001,-0.001
17,0.297,0.002,-0.001
18,0.298,-0.011,-0.011
19,0.299,-0.046,-0.034
20,0.3,-0.038,-0.027
21,0.301,0.005,0.002
22,0.302,0.017,0.011
23,0.303,0.012,0.006
24,0.304,0.011,0.005
25,0.305,0.013,0.0
26,0.306,0.013,0.0
27,0.307,0.015,0.002
28,0.308,0.025,0.003
29,0.309,0.027,0.007
30,0.31,0.024,0.009
31,0.311,0.027,0.009
32,0.312,0.015,0.004
33,0.313,0.012,0.003
34,0.314,-0.01,-0.001
35,0.315,-0.01,-0.001
36,0.316,0.0,-0.005
37,0.317,-0.002,-0.003
38,0.318,-0.019,-0.011
39,0.319,-0.059,-0.032
40,0.32,-0.048,-0.019
41,0.321,0.003,0.011
42,0.322,0.02,0.019
43,0.323,0.014,0.012
44,0.324,0.01,0.015
45,0.325,0.01,0.01
46,0.326,0.008,0.009
47,0.327,0.018,0.011
48,0.328,0.013,0.01
49,0.329,0.013,0.012
50,0.33,0.005,0.006
51,0.331,0.002,0.009
52,0.332,0.003,0.005
53,0.333,0.006,0.0
54,0.334,-0.001,-0.007
55,0.335,0.0,-0.004
56,0.336,0.001,-0.005
57,0.337,0.003,-0.007
58,0.338,-0.014,-0.016
59,0.339,-0.048,-0.037
60,0.34,-0.037,-0.028
61,0.341,0.011,-0.003
62,0.342,0.025,0.005
63,0.343,0.019,0.003
64,0.344,0.022,0.008
65,0.345,0.02,0.006
66,0.346,0.017,0.006
67,0.347,0.015,0.004
68,0.348,0.008,0.0
69,0.349,0.009,0.006
70,0.35,0.007,0.006
71,0.351,0.012,0.007
72,0.352,0.014,0.001
73,0.353,0.013,0.0
74,0.354,0.004,-0.007
75,0.355,0.007,-0.006
76,0.356,0.003,-0.006
77,0.357,0.0,-0.008
78,0.358,-0.015,-0.021
79,0.359,-0.051,-0.042
80,0.36,-0.042,-0.03
81,0.361,0.001,-0.001
82,0.362,0.015,0.011
83,0.363,0.008,0.008
84,0.364,0.009,0.014
85,0.365,0.006,0.014
86,0.366,0.008,0.013
87,0.367,0.015,0.011
88,0.368,0.014,0.01
89,0.369,0.019,0.012
90,0.37,0.015,0.009
91,0.371,0.02,0.01
92,0.372,0.014,0.004
93,0.373,0.011,0.002
94,0.374,0.0,-0.003
95,0.375,-0.002,-0.001
96,0.376,-0.002,0.0
97,0.377,-0.006,0.0
98,0.378,-0.02,-0.011
99,0.379,-0.052,-0.031
100,0.38,-0.042,-0.021
101,0.381,0.005,0.007
102,0.382,0.022,0.015
103,0.383,0.018,0.011
104,0.384,0.019,0.014
105,0.385,0.02,0.011
106,0.386,0.021,0.011
107,0.387,0.021,0.009
108,0.388,0.016,0.006
109,0.389,0.018,0.006
