Time,Tibialis antelior,Gastrocnemius medialis
0.26,-0.002,0.003
0.261,-0.002,-0.007
0.262,-0.002,-0.007
0.263,-0.002,-0.001
0.264,-0.009,-0.001
0.265,-0.011,0.0
0.266,0.0,0.001
0.267,0.006,0.001
0.268,0.004,0.001
0.269,0.007,0.001
0.27,0.007,0.003
0.271,0.004,0.001
0.272,0.006,0.003
0.273,0.002,0.0
0.274,0.004,0.0
0.275,0.005,0.002
0.276,0.006,0.0
0.277,0.005,-0.001
0.278,0.004,-0.002
0.279,-0.002,-0.001
0.28,-0.001,0.0
0.281,-0.001,0.003
0.282,0.0,0.004
0.283,0.0,0.005
0.284,-0.01,0.002
0.285,-0.009,-0.003
0.286,0.001,-0.001
0.287,0.011,0.005
0.288,0.008,0.005
0.289,0.007,0.007
0.29,0.006,0.008
0.291,0.008,0.008
0.292,0.007,-0.001
0.293,0.004,-0.004
0.294,0.007,0.002
0.295,0.005,-0.003
0.296,0.004,-0.005
0.297,0.002,0.005
0.298,0.005,0.007
0.299,-0.001,0.006
0.3,0.0,0.0
0.301,0.003,-0.003
0.302,0.003,-0.009
0.303,0.001,-0.006
0.304,-0.008,-0.002
0.305,-0.008,-0.001
0.306,0.0,-0.001
0.307,0.009,-0.001
0.308,0.006,0.001
0.309,0.006,0.0
0.31,0.007,0.0
0.311,0.005,0.0
0.312,0.006,0.0
0.313,0.004,0.0
0.314,0.006,0.0
0.315,0.009,0.001
0.316,0.013,0.004
0.317,0.012,0.001
0.318,0.011,0.005
0.319,0.002,0.009
0.32,0.002,0.003
0.321,0.001,0.004
0.322,0.0,0.004
0.323,0.0,0.008
0.324,-0.012,0.002
0.325,-0.013,-0.004
0.326,-0.003,-0.004
0.327,0.008,-0.008
0.328,0.008,-0.005
0.329,0.006,-0.003
0.33,0.007,-0.003
0.331,0.004,0.0
0.332,0.009,-0.006
0.333,0.008,0.001
0.334,0.009,0.007
0.335,0.011,0.003
0.336,0.013,0.004
0.337,0.009,0.0
0.338,0.004,-0.005
0.339,0.001,0.0
0.34,-0.001,0.0
0.341,0.001,0.0
0.342,-0.002,0.0
0.343,-0.003,-0.001
0.344,-0.012,-0.003
0.345,-0.014,-0.005
0.346,-0.002,0.0
0.347,0.007,0.001
0.348,0.004,0.003
0.349,0.006,0.003
0.35,0.008,0.001
0.351,0.004,0.004
0.352,0.006,0.004
0.353,0.003,0.003
0.354,0.008,0.006
0.355,0.008,0.009
0.356,0.008,0.008
0.357,0.005,0.0
0.358,0.004,-0.007
0.359,0.0,-0.009
0.36,-0.002,0.001
0.361,-0.001,0.002
0.362,-0.002,-0.003
