,Time,Tibialis antelior,Gastrocnemius medialis
0,0.16,-0.037,-0.023
1,0.161,-0.003,0.003
2,0.162,0.015,0.011
3,0.163,0.01,0.009
4,0.164,0.012,0.009
5,0.165,0.013,0.007
6,0.166,0.016,0.007
7,0.167,0.02,0.009
8,0.168,0.017,0.004
9,0.169,0.022,0.004
10,0.17,0.019,0.0
11,0.171,0.024,0.004
12,0.172,0.017,0.002
13,0.173,0.012,0.002
14,0.174,0.002,-0.005
15,0.175,0.0,-0.002
16,0.176,0.002,-0.001
17,0.177,0.003,-0.005
18,0.178,-0.011,-0.012
19,0.179,-0.038,-0.029
20,0.18,-0.03,-0.02
21,0.181,0.007,0.004
22,0.182,0.023,0.011
23,0.183,0.013,0.012
24,0.184,0.014,0.014
25,0.185,0.014,0.013
26,0.186,0.014,0.011
27,0.187,0.022,0.011
28,0.188,0.02,0.009
29,0.189,0.023,0.009
30,0.19,0.016,0.008
31,0.191,0.02,0.007
32,0.192,0.009,0.005
33,0.193,0.003,0.0
34,0.194,-0.009,-0.002
35,0.195,-0.008,-0.001
36,0.196,-0.007,-0.001
37,0.197,-0.005,-0.001
38,0.198,-0.015,-0.009
39,0.199,-0.045,-0.029
40,0.2,-0.037,-0.024
41,0.201,0.003,-0.001
42,0.202,0.024,0.01
43,0.203,0.017,0.005
44,0.204,0.019,0.007
45,0.205,0.015,0.006
46,0.206,0.009,0.005
47,0.207,0.013,0.008
48,0.208,0.01,0.004
49,0.209,0.008,0.008
50,0.21,0.004,0.006
51,0.211,0.008,0.008
52,0.212,0.003,0.007
53,0.213,0.005,0.006
54,0.214,-0.004,-0.001
55,0.215,-0.001,0.004
56,0.216,0.003,0.007
57,0.217,0.0,0.007
58,0.218,-0.013,0.002
59,0.219,-0.045,-0.018
60,0.22,-0.036,-0.016
61,0.221,0.005,0.006
62,0.222,0.023,0.011
63,0.223,0.013,0.002
64,0.224,0.012,-0.006
65,0.225,0.012,-0.007
66,0.226,0.007,-0.012
67,0.227,0.012,-0.041
68,0.228,0.011,-0.047
69,0.229,0.009,-0.006
70,0.23,0.004,0.013
71,0.231,0.006,0.017
72,0.232,0.002,0.017
73,0.233,0.001,0.018
74,0.234,-0.006,0.016
75,0.235,0.0,0.014
76,0.236,0.002,0.008
77,0.237,0.01,0.003
78,0.238,-0.004,-0.013
79,0.239,-0.043,-0.035
80,0.24,-0.035,-0.024
81,0.241,0.01,0.001
82,0.242,0.022,0.014
83,0.243,0.016,0.008
84,0.244,0.017,0.008
85,0.245,0.014,0.003
86,0.246,0.013,-0.001
87,0.247,0.018,-0.001
88,0.248,0.018,-0.002
89,0.249,0.021,0.0
90,0.25,0.018,-0.004
91,0.251,0.017,-0.003
92,0.252,0.013,-0.007
93,0.253,0.008,-0.011
94,0.254,-0.001,-0.023
95,0.255,-0.004,-0.023
96,0.256,-0.007,-0.025
97,0.257,-0.008,-0.017
98,0.258,-0.02,0.011
99,0.259,-0.05,0.014
100,0.26,-0.037,-0.003
101,0.261,0.004,0.007
102,0.262,0.027,0.012
103,0.263,0.022,0.014
104,0.264,0.02,0.027
105,0.265,0.018,0.038
106,0.266,0.018,0.031
107,0.267,0.023,0.032
108,0.268,0.02,0.025
109,0.269,0.02,0.021
110,0.27,0.015,0.016
111,0.271,0.018,0.01
112,0.272,0.009,0.005
113,0.273,0.001,0.002
114,0.274,-0.006,-0.004
115,0.275,-0.003,-0.01
116,0.276,-0.002,-0.01
117,0.277,-0.003,-0.012
118,0.278,-0.013,-0.018
119,0.279,-0.046,-0.04
120,0.28,-0.034,-0.029
121,0.281,0.01,-0.005
122,0.282,0.025,0.004
123,0.283,0.013,0.002
124,0.284,0.015,0.0
125,0.285,0.009,0.0
126,0.286,0.006,0.0
127,0.287,0.011,0.0
128,0.288,0.011,-0.001
129,0.289,0.015,0.0
130,0.29,0.009,-0.001
131,0.291,0.01,0.002
132,0.292,0.006,0.0
133,0.293,0.006,0.0
134,0.294,0.001,-0.006
135,0.295,0.0,-0.002
136,0.296,-0.001,-0.001
137,0.297,0.002,-0.001
138,0.298,-0.011,-0.011
139,0.299,-0.046,-0.034
140,0.3,-0.038,-0.027
141,0.301,0.005,0.002
142,0.302,0.017,0.011
143,0.303,0.012,0.006
144,0.304,0.011,0.005
145,0.305,0.013,0.0
146,0.306,0.013,0.0
147,0.307,0.015,0.002
148,0.308,0.025,0.003
149,0.309,0.027,0.007
150,0.31,0.024,0.009
151,0.311,0.027,0.009
152,0.312,0.015,0.004
153,0.313,0.012,0.003
154,0.314,-0.01,-0.001
155,0.315,-0.01,-0.001
156,0.316,0.0,-0.005
157,0.317,-0.002,-0.003
158,0.318,-0.019,-0.011
159,0.319,-0.059,-0.032
160,0.32,-0.048,-0.019
161,0.321,0.003,0.011
162,0.322,0.02,0.019
163,0.323,0.014,0.012
164,0.324,0.01,0.015
165,0.325,0.01,0.01
166,0.326,0.008,0.009
167,0.327,0.018,0.011
168,0.328,0.013,0.01
169,0.329,0.013,0.012
170,0.33,0.005,0.006
171,0.331,0.002,0.009
172,0.332,0.003,0.005
173,0.333,0.006,0.0
174,0.334,-0.001,-0.007
175,0.335,0.0,-0.004
176,0.336,0.001,-0.005
177,0.337,0.003,-0.007
178,0.338,-0.014,-0.016
179,0.339,-0.048,-0.037
180,0.34,-0.037,-0.028
181,0.341,0.011,-0.003
182,0.342,0.025,0.005
183,0.343,0.019,0.003
184,0.344,0.022,0.008
185,0.345,0.02,0.006
186,0.346,0.017,0.006
187,0.347,0.015,0.004
188,0.348,0.008,0.0
189,0.349,0.009,0.006
190,0.35,0.007,0.006
191,0.351,0.012,0.007
192,0.352,0.014,0.001
193,0.353,0.013,0.0
194,0.354,0.004,-0.007
195,0.355,0.007,-0.006
196,0.356,0.003,-0.006
197,0.357,0.0,-0.008
198,0.358,-0.015,-0.021
199,0.359,-0.051,-0.042
200,0.36,-0.042,-0.03
201,0.361,0.001,-0.001
202,0.362,0.015,0.011
203,0.363,0.008,0.008
204,0.364,0.009,0.014
205,0.365,0.006,0.014
206,0.366,0.008,0.013
207,0.367,0.015,0.011
208,0.368,0.014,0.01
209,0.369,0.019,0.012
210,0.37,0.015,0.009
211,0.371,0.02,0.01
212,0.372,0.014,0.004
213,0.373,0.011,0.002
214,0.374,0.0,-0.003
215,0.375,-0.002,-0.001
216,0.376,-0.002,0.0
217,0.377,-0.006,0.0
218,0.378,-0.02,-0.011
219,0.379,-0.052,-0.031
220,0.38,-0.042,-0.021
221,0.381,0.005,0.007
222,0.382,0.022,0.015
223,0.383,0.018,0.011
224,0.384,0.019,0.014
225,0.385,0.02,0.011
226,0.386,0.021,0.011
227,0.387,0.021,0.009
228,0.388,0.016,0.006
229,0.389,0.018,0.006
230,0.39,0.013,0.003
231,0.391,0.016,0.003
232,0.392,0.004,0.0
233,0.393,0.0,-0.001
234,0.394,-0.002,-0.005
235,0.395,-0.005,-0.002
236,0.396,-0.003,0.001
237,0.397,-0.004,0.0
238,0.398,-0.015,-0.008
239,0.399,-0.048,-0.029
240,0.4,-0.036,-0.019
241,0.401,0.011,0.006
242,0.402,0.025,0.016
243,0.403,0.018,0.011
244,0.404,0.016,0.009
245,0.405,0.011,0.007
246,0.406,0.007,0.006
247,0.407,0.01,0.011
248,0.408,0.013,0.009
249,0.409,0.015,0.008
250,0.41,0.017,0.008
251,0.411,0.019,0.01
252,0.412,0.013,0.005
253,0.413,0.011,0.005
254,0.414,0.001,-0.001
255,0.415,0.004,0.001
256,0.416,-0.003,-0.001
257,0.417,-0.005,-0.001
258,0.418,-0.019,-0.012
259,0.419,-0.055,-0.035
260,0.42,-0.044,-0.026
261,0.421,0.003,0.003
262,0.422,0.023,0.013
263,0.423,0.017,0.007
264,0.424,0.018,0.01
