Time,Tibialis antelior,Gastrocnemius medialis
0.12,0.003,-0.005
0.121,-0.014,-0.017
0.122,-0.026,-0.023
0.123,-0.005,-0.013
0.124,0.008,-0.007
0.125,0.012,-0.01
0.126,0.012,0.0
0.127,0.015,0.015
0.128,0.012,0.011
0.129,0.014,0.008
0.13,0.01,-0.001
0.131,0.014,-0.049
0.132,0.015,-0.103
0.133,0.01,-0.025
0.134,0.014,0.025
0.135,0.01,-0.006
0.136,0.006,0.0
0.137,0.008,-0.007
0.138,0.007,-0.004
0.139,0.007,-0.013
0.14,0.001,-0.006
0.141,-0.017,-0.014
0.142,-0.023,-0.013
0.143,-0.007,-0.008
0.144,0.008,-0.002
0.145,0.009,-0.002
0.146,0.009,0.0
0.147,0.007,0.0
0.148,0.006,-0.006
0.149,0.006,0.001
0.15,0.01,0.002
0.151,0.011,0.001
0.152,0.009,0.002
0.153,0.011,0.001
0.154,0.006,-0.002
0.155,0.006,0.001
0.156,0.002,0.001
0.157,-0.001,0.0
0.158,0.002,0.0
0.159,0.001,0.001
0.16,0.0,-0.001
0.161,-0.015,-0.008
0.162,-0.021,-0.01
0.163,-0.002,0.0
0.164,0.011,0.006
0.165,0.011,0.007
0.166,0.009,0.007
0.167,0.013,0.006
0.168,0.007,0.005
0.169,0.009,0.002
0.17,0.011,0.003
0.171,0.008,0.005
0.172,0.008,0.003
0.173,0.009,0.002
0.174,0.003,0.002
0.175,0.005,0.0
0.176,0.006,-0.002
0.177,0.001,-0.002
0.178,0.001,0.0
0.179,0.004,0.003
0.18,0.001,0.006
0.181,-0.014,-0.001
0.182,-0.02,-0.011
0.183,-0.003,-0.011
0.184,0.011,-0.003
0.185,0.01,0.002
0.186,0.009,0.003
0.187,0.013,0.005
0.188,0.005,0.004
0.189,0.005,0.0
0.19,0.012,0.0
0.191,0.012,0.006
0.192,0.007,0.008
0.193,0.011,0.01
0.194,0.005,0.015
0.195,0.005,-0.001
0.196,0.004,-0.02
0.197,0.0,-0.005
0.198,0.003,0.001
0.199,0.003,0.001
0.2,0.0,-0.005
0.201,-0.018,-0.014
0.202,-0.024,-0.007
0.203,-0.007,-0.001
0.204,0.003,0.007
0.205,0.008,0.005
0.206,0.013,0.006
0.207,0.01,0.005
0.208,0.007,0.001
0.209,0.007,-0.001
0.21,0.006,0.0
0.211,0.006,0.004
0.212,0.002,0.008
0.213,0.009,0.012
0.214,0.009,0.005
0.215,0.006,-0.007
0.216,0.003,-0.003
0.217,0.004,0.01
0.218,0.008,0.009
0.219,0.01,0.004
0.22,0.003,0.002
0.221,-0.015,-0.022
0.222,-0.023,-0.033
0.223,-0.005,-0.015
0.224,0.012,0.0
0.225,0.007,0.011
0.226,0.0,0.017
0.227,0.003,0.013
0.228,0.0,0.005
0.229,0.008,0.016
0.23,0.007,0.009
0.231,0.008,0.0
0.232,0.006,0.001
0.233,0.006,-0.007
0.234,0.004,-0.02
0.235,0.003,-0.019
0.236,0.001,-0.022
0.237,0.003,-0.034
0.238,0.006,-0.056
0.239,0.002,-0.062
0.24,0.003,0.025
0.241,-0.012,0.103
0.242,-0.021,0.071
0.243,0.005,-0.005
0.244,0.019,-0.069
0.245,0.011,-0.098
0.246,0.009,-0.137
0.247,0.014,-0.098
0.248,0.002,-0.106
0.249,0.007,0.034
0.25,0.005,0.237
0.251,0.008,0.259
0.252,0.007,0.067
0.253,0.006,-0.068
0.254,0.008,0.012
0.255,0.019,-0.005
0.256,0.016,0.023
0.257,0.011,0.091
0.258,0.008,0.09
0.259,0.003,-0.023
0.26,0.008,0.03
0.261,-0.013,0.041
0.262,-0.027,0.014
0.263,-0.012,0.034
0.264,0.007,0.029
0.265,0.007,-0.024
0.266,0.003,0.004
0.267,-0.001,-0.018
0.268,0.0,-0.016
0.269,0.001,-0.026
0.27,0.004,-0.031
0.271,0.005,-0.024
0.272,-0.002,0.002
0.273,-0.001,0.029
0.274,0.003,-0.002
0.275,0.0,0.0
0.276,0.003,-0.014
0.277,0.001,-0.007
0.278,0.001,-0.013
0.279,0.006,-0.006
0.28,-0.001,-0.012
0.281,-0.019,-0.018
0.282,-0.027,-0.023
0.283,-0.011,-0.011
0.284,0.007,-0.007
0.285,0.011,-0.009
0.286,0.006,-0.027
0.287,0.011,-0.044
0.288,0.006,-0.041
0.289,0.006,-0.032
0.29,0.01,-0.018
0.291,0.009,0.006
0.292,0.012,0.041
0.293,0.011,0.048
0.294,0.007,0.025
0.295,0.011,0.037
0.296,0.004,0.02
0.297,0.005,-0.026
0.298,0.007,-0.01
0.299,0.003,-0.01
