Time,Tibialis antelior,Gastrocnemius medialis
0,0.014,0.006
0.001,0.01,0.002
0.002,0.012,0.003
0.003,0.011,0.005
0.004,0.006,0.003
0.005,0.006,0.003
0.006,0.007,0.002
0.007,0.011,0.001
0.008,0.012,0.003
0.009,0.012,0.004
0.01,0.01,0.003
0.011,0.011,0.003
0.012,0,0
0.013,-0.001,-0.001
0.014,0,0
0.015,0,0
0.016,-0.004,-0.002
0.017,-0.026,-0.013
0.018,-0.028,-0.011
0.019,-0.003,0
0.02,0.012,0.008
0.021,0.007,0.004
0.022,0.009,0.005
0.023,0.009,0.008
0.024,0.007,0.003
0.025,0.008,0.002
0.026,0.007,0.001
0.027,0.013,0.005
0.028,0.011,0.004
0.029,0.013,0.004
0.03,0.01,0.003
0.031,0.008,0.002
0.032,0,-0.001
0.033,-0.001,0
0.034,0.001,0
0.035,-0.001,0.001
0.036,-0.005,-0.001
0.037,-0.025,-0.011
0.038,-0.027,-0.013
0.039,-0.001,-0.002
0.04,0.016,0.005
0.041,0.013,0.001
0.042,0.015,0.004
0.043,0.017,0.005
0.044,0.012,0.004
0.045,0.014,0.004
0.046,0.01,0.004
0.047,0.016,0.003
0.048,0.013,0.001
0.049,0.013,0.003
0.05,0.007,0.002
0.051,0.005,0.002
0.052,-0.001,0
0.053,-0.004,-0.002
0.054,-0.002,-0.001
0.055,-0.003,-0.002
0.056,-0.007,-0.005
0.057,-0.024,-0.016
0.058,-0.025,-0.016
0.059,0,-0.004
0.06,0.016,0.003
0.061,0.01,0.005
0.062,0.014,0.004
0.063,0.013,0.004
0.064,0.009,0.003
0.065,0.007,0.003
0.066,0.006,0.003
0.067,0.012,0.004
0.068,0.009,0.006
0.069,0.011,0.007
0.07,0.004,0.004
0.071,0.002,0.003
0.072,-0.002,-0.003
0.073,-0.003,-0.004
0.074,-0.003,-0.001
0.075,-0.001,-0.001
0.076,-0.004,-0.002
0.077,-0.023,-0.014
0.078,-0.024,-0.017
0.079,0,-0.006
0.08,0.016,0.007
0.081,0.013,0.004
0.082,0.012,0.004
0.083,0.012,0.008
0.084,0.007,0.006
0.085,0.007,0.005
0.086,0.005,0.001
0.087,0.008,0.004
0.088,0.01,0.004
0.089,0.01,0.006
0.09,0.008,0.002
0.091,0.005,0.001
0.092,-0.001,-0.003
0.093,0,-0.001
0.094,0.003,-0.001
0.095,0.003,-0.001
0.096,0,-0.001
0.097,-0.022,-0.014
0.098,-0.023,-0.011
0.099,0.002,0.004
0.1,0.017,0.01
0.101,0.01,0.002
0.102,0.009,0.003
0.103,0.009,0.009
0.104,0.006,0.005
0.105,0.005,0.007
0.106,0.008,0.006
0.107,0.011,0.007
0.108,0.009,0.004
0.109,0.013,0.007
0.11,0.011,0.004
0.111,0.01,0.002
0.112,0.002,0.001
0.113,0,-0.002
0.114,0.002,0
0.115,0.001,0
0.116,-0.003,0
0.117,-0.025,-0.015
0.118,-0.026,-0.015
0.119,-0.001,0
0.12,0.01,0.008
0.121,0.009,0.005
0.122,0.009,0.005
0.123,0.01,0.006
0.124,0.009,0.006
0.125,0.011,0.003
0.126,0.009,0.003
0.127,0.013,0.003
0.128,0.013,0.004
0.129,0.013,0.004
0.13,0.011,0.002
0.131,0.008,0.001
0.132,0,0
0.133,-0.001,-0.002
0.134,-0.001,-0.002
0.135,-0.004,-0.002
0.136,-0.01,-0.005
0.137,-0.028,-0.016
0.138,-0.029,-0.016
0.139,-0.002,-0.001
0.14,0.012,0.003
0.141,0.01,0.001
0.142,0.008,0.005
0.143,0.012,0.005
0.144,0.011,0.005
0.145,0.009,0.003
0.146,0.008,-0.003
0.147,0.015,0.001
0.148,0.016,0.004
0.149,0.015,-0.002
0.15,0.008,0
0.151,0.004,0.001
0.152,-0.002,-0.004
0.153,-0.002,0
0.154,0,-0.003
0.155,0,-0.001
0.156,-0.003,-0.007
0.157,-0.024,-0.018
0.158,-0.024,-0.018
0.159,0.002,-0.002
0.16,0.017,0.003
0.161,0.013,0.002
0.162,0.015,0.002
0.163,0.016,0.005
0.164,0.012,0.008
0.165,0.012,0.008
0.166,0.008,0.009
0.167,0.011,0.012
0.168,0.009,0.011
0.169,0.01,0.009
0.17,0.006,0.001
0.171,0.007,-0.003
0.172,-0.002,0.001
0.173,-0.002,0
0.174,0,0.002
0.175,0,0
0.176,-0.003,-0.004
0.177,-0.026,-0.017
0.178,-0.026,-0.019
0.179,-0.001,-0.003
0.18,0.011,0.006
0.181,0,0.006
0.182,-0.006,0.006
0.183,0,0.006
0.184,0.01,0.003
0.185,0.019,0.003
0.186,0.023,0.003
0.187,0.022,0.008
0.188,0.008,0.003
0.189,0.007,0.004
0.19,0.007,0.001
0.191,0.006,0
0.192,0,-0.002
0.193,-0.001,-0.003
0.194,0.003,-0.002
0.195,0.003,-0.002
0.196,0,-0.006
0.197,-0.023,-0.019
0.198,-0.025,-0.016
0.199,0,-0.001
0.2,0.014,0.005
0.201,0.012,0.006
0.202,0.011,0.006
0.203,0.008,0.009
0.204,0.004,0.003
0.205,0.004,0.001
0.206,0.002,0.001
0.207,0.011,0.004
0.208,0.013,0.008
0.209,0.014,0.011
0.21,0.011,0.003
0.211,0.007,0
0.212,0,-0.001
0.213,0,-0.003
0.214,0.001,0.002
0.215,0,0
0.216,-0.004,0
0.217,-0.027,-0.015
0.218,-0.027,-0.012
0.219,0,0.002
0.22,0.014,0.003
0.221,0.012,0.001
0.222,0.011,0.006
0.223,0.011,0.003
0.224,0.008,0.005
0.225,0.009,0.007
0.226,0.008,0.004
0.227,0.013,0.003
0.228,0.015,-0.001
0.229,0.017,0.003
0.23,0.011,-0.001
0.231,0.007,0.001
0.232,-0.002,-0.001
0.233,-0.005,0
0.234,-0.001,0.003
0.235,-0.004,0
0.236,-0.011,-0.007
0.237,-0.031,-0.02
0.238,-0.027,-0.017
0.239,0,-0.002
0.24,0.015,0.002
0.241,0.012,0.005
0.242,0.012,0.005
0.243,0.013,0.004
0.244,0.011,0.004
