Time,Tibialis antelior,Gastrocnemius medialis
0.3,-0.015,0.032
0.301,0.0,-0.038
0.302,-0.003,-0.106
0.303,0.013,-0.207
0.304,0.027,-0.126
0.305,0.03,-0.009
0.306,0.012,0.196
0.307,0.004,0.208
0.308,0.002,0.082
0.309,0.002,0.038
0.31,-0.01,0.014
0.311,-0.019,0.014
0.312,-0.016,0.016
0.313,-0.019,-0.001
0.314,-0.008,-0.017
0.315,0.0,-0.034
0.316,0.003,-0.012
0.317,0.018,0.021
0.318,0.022,0.025
0.319,0.006,0.012
0.32,-0.007,-0.028
0.321,-0.006,-0.116
0.322,0.0,-0.161
0.323,0.015,-0.232
0.324,0.03,-0.061
0.325,0.033,0.064
0.326,0.03,0.094
0.327,0.012,0.171
0.328,0.007,-0.007
0.329,0.008,0.046
0.33,0.003,0.0
0.331,0.0,0.011
0.332,-0.001,-0.002
0.333,-0.002,0.0
0.334,-0.004,-0.002
0.335,-0.013,-0.013
0.336,-0.019,-0.01
0.337,-0.002,-0.01
0.338,0.011,0.004
0.339,0.003,-0.005
0.34,-0.001,-0.001
0.341,0.003,-0.012
0.342,0.003,0.0
0.343,0.003,-0.001
0.344,-0.002,0.004
0.345,0.0,-0.001
0.346,0.001,0.007
0.347,0.001,0.0
0.348,0.0,0.007
0.349,-0.002,0.005
0.35,0.0,0.009
0.351,-0.007,-0.003
0.352,-0.005,-0.001
0.353,0.011,-0.008
0.354,0.014,-0.008
0.355,-0.009,-0.014
0.356,-0.018,-0.01
0.357,-0.002,-0.002
0.358,0.001,0.003
0.359,0.015,0.005
0.36,0.02,0.005
0.361,0.012,0.007
0.362,0.003,0.007
0.363,0.008,0.011
0.364,0.005,0.008
0.365,0.009,0.009
0.366,0.009,0.007
0.367,0.008,0.004
0.368,0.006,0.005
0.369,0.001,0.0
0.37,0.0,0.0
0.371,-0.003,-0.001
0.372,-0.002,-0.003
0.373,0.0,0.0
0.374,0.0,0.0
0.375,-0.008,-0.003
0.376,-0.016,-0.008
0.377,-0.004,0.001
0.378,0.004,0.008
0.379,0.003,0.007
0.38,0.002,0.006
0.381,0.005,0.008
0.382,0.004,0.007
0.383,0.009,0.009
0.384,0.005,0.005
0.385,0.002,0.001
0.386,0.003,0.002
0.387,0.005,0.002
0.388,0.008,0.004
0.389,0.004,0.0
0.39,0.0,-0.001
0.391,-0.002,-0.002
0.392,-0.001,0.0
0.393,0.0,0.0
0.394,0.0,0.002
0.395,-0.006,0.003
0.396,-0.011,-0.004
0.397,-0.006,0.0
0.398,0.004,0.003
0.399,0.006,0.002
0.4,0.004,0.002
0.401,0.006,0.0
0.402,0.003,0.0
0.403,0.006,0.002
0.404,0.008,0.002
0.405,0.01,0.006
0.406,0.009,0.007
0.407,0.005,0.005
0.408,0.005,0.007
0.409,0.009,0.007
0.41,0.005,0.008
0.411,0.0,0.001
0.412,0.002,0.001
0.413,0.002,0.0
0.414,0.002,0.002
0.415,-0.003,0.0
0.416,-0.007,-0.004
0.417,0.002,-0.002
0.418,0.009,0.0
0.419,0.007,0.002
0.42,0.004,-0.001
0.421,0.007,0.001
0.422,0.007,-0.001
0.423,0.007,0.0
0.424,0.006,0.0
0.425,0.009,0.004
0.426,0.009,0.003
0.427,0.01,0.003
0.428,0.012,0.006
0.429,0.009,0.004
0.43,0.006,0.0
0.431,0.005,-0.001
0.432,0.001,0.0
0.433,-0.007,0.0
0.434,-0.005,0.0
0.435,-0.012,-0.004
0.436,-0.012,-0.009
0.437,-0.004,-0.004
0.438,0.006,0.003
0.439,0.013,0.002
0.44,0.015,0.001
0.441,0.018,0.001
0.442,0.016,0.003
0.443,0.008,0.004
0.444,-0.001,0.002
0.445,-0.001,0.004
0.446,-0.004,0.005
0.447,-0.01,0.005
0.448,-0.006,0.006
0.449,-0.006,0.005
0.45,-0.012,0.0
0.451,-0.023,-0.002
0.452,-0.028,-0.001
0.453,-0.031,-0.002
0.454,-0.05,-0.001
0.455,-0.048,-0.008
0.456,0.046,-0.011
0.457,0.076,-0.004
0.458,0.019,0.0
0.459,0.039,0.0
0.46,0.039,0.0
0.461,0.053,0.0
0.462,0.038,0.001
0.463,0.039,0.001
0.464,0.031,0.001
0.465,0.012,0.002
0.466,-0.01,0.0
0.467,-0.035,0.001
0.468,-0.026,0.003
0.469,-0.004,0.003
0.47,-0.004,-0.002
0.471,0.001,-0.003
0.472,0.004,-0.003
0.473,0.004,-0.002
0.474,0.013,-0.003
0.475,-0.017,-0.005
0.476,-0.012,-0.007
0.477,0.018,-0.001
0.478,0.045,0.003
0.479,0.022,0.007
0.48,-0.009,0.004
0.481,-0.015,0.007
0.482,0.032,0.004
0.483,0.06,0.004
0.484,0.057,0.001
0.485,0.039,0.001
0.486,0.027,0.001
0.487,-0.002,0.001
0.488,-0.026,0.003
0.489,-0.026,0.001
0.49,-0.046,0.0
