Time,Tibialis antelior,Gastrocnemius medialis
0.28,0.034,0.029
0.281,0.01,0.005
0.282,0.025,0.004
0.283,0.013,0.002
0.284,0.015,0.0
0.285,0.009,0.0
0.286,0.006,0.0
0.287,0.011,0.0
0.288,0.011,0.001
0.289,0.015,0.0
0.29,0.009,0.001
0.291,0.01,0.002
0.292,0.006,0.0
0.293,0.006,0.0
0.294,0.001,0.006
0.295,0.0,0.002
0.296,0.001,0.001
0.297,0.002,0.001
0.298,0.011,0.011
0.299,0.046,0.034
0.3,0.038,0.027
0.301,0.005,0.002
0.302,0.017,0.011
0.303,0.012,0.006
0.304,0.011,0.005
0.305,0.013,0.0
0.306,0.013,0.0
0.307,0.015,0.002
0.308,0.025,0.003
0.309,0.027,0.007
0.31,0.024,0.009
0.311,0.027,0.009
0.312,0.015,0.004
0.313,0.012,0.003
0.314,0.01,0.001
0.315,0.01,0.001
0.316,0.0,0.005
0.317,0.002,0.003
0.318,0.019,0.011
0.319,0.059,0.032
0.32,0.048,0.019
0.321,0.003,0.011
0.322,0.02,0.019
0.323,0.014,0.012
0.324,0.01,0.015
0.325,0.01,0.01
0.326,0.008,0.009
0.327,0.018,0.011
0.328,0.013,0.01
0.329,0.013,0.012
0.33,0.005,0.006
0.331,0.002,0.009
0.332,0.003,0.005
0.333,0.006,0.0
0.334,0.001,0.007
0.335,0.0,0.004
0.336,0.001,0.005
0.337,0.003,0.007
0.338,0.014,0.016
0.339,0.048,0.037
0.34,0.037,0.028
0.341,0.011,0.003
0.342,0.025,0.005
0.343,0.019,0.003
0.344,0.022,0.008
0.345,0.02,0.006
0.346,0.017,0.006
0.347,0.015,0.004
0.348,0.008,0.0
0.349,0.009,0.006
0.35,0.007,0.006
0.351,0.012,0.007
0.352,0.014,0.001
0.353,0.013,0.0
0.354,0.004,0.007
0.355,0.007,0.006
0.356,0.003,0.006
0.357,0.0,0.008
0.358,0.015,0.021
0.359,0.051,0.042
0.36,0.042,0.03
0.361,0.001,0.001
0.362,0.015,0.011
0.363,0.008,0.008
0.364,0.009,0.014
0.365,0.006,0.014
0.366,0.008,0.013
0.367,0.015,0.011
0.368,0.014,0.01
0.369,0.019,0.012
0.37,0.015,0.009
0.371,0.02,0.01
0.372,0.014,0.004
0.373,0.011,0.002
0.374,0.0,0.003
0.375,0.002,0.001
0.376,0.002,0.0
0.377,0.006,0.0
0.378,0.02,0.011
0.379,0.052,0.031
0.38,0.042,0.021
0.381,0.005,0.007
0.382,0.022,0.015
0.383,0.018,0.011
0.384,0.019,0.014
0.385,0.02,0.011
0.386,0.021,0.011
0.387,0.021,0.009
0.388,0.016,0.006
0.389,0.018,0.006
0.39,0.013,0.003
0.391,0.016,0.003
0.392,0.004,0.0
0.393,0.0,0.001
0.394,0.002,0.005
0.395,0.005,0.002
0.396,0.003,0.001
0.397,0.004,0.0
0.398,0.015,0.008
0.399,0.048,0.029
0.4,0.036,0.019
0.401,0.011,0.006
0.402,0.025,0.016
0.403,0.018,0.011
0.404,0.016,0.009
0.405,0.011,0.007
0.406,0.007,0.006
0.407,0.01,0.011
0.408,0.013,0.009
0.409,0.015,0.008
0.41,0.017,0.008
0.411,0.019,0.01
0.412,0.013,0.005
0.413,0.011,0.005
0.414,0.001,0.001
0.415,0.004,0.001
0.416,0.003,0.001
0.417,0.005,0.001
0.418,0.019,0.012
0.419,0.055,0.035
0.42,0.044,0.026
0.421,0.003,0.003
0.422,0.023,0.013
0.423,0.017,0.007
0.424,0.018,0.01
0.425,0.015,0.009
0.426,0.008,0.007
0.427,0.011,0.008
0.428,0.011,0.008
0.429,0.01,0.009
0.43,0.012,0.01
0.431,0.012,0.01
0.432,0.011,0.007
0.433,0.011,0.006
0.434,0.002,0.003
0.435,0.007,0.001
0.436,0.007,0.0
0.437,0.004,0.002
0.438,0.012,0.012
0.439,0.051,0.034
0.44,0.041,0.025
0.441,0.003,0.003
0.442,0.019,0.009
0.443,0.009,0.005
0.444,0.014,0.007
0.445,0.014,0.006
0.446,0.011,0.008
0.447,0.018,0.01
0.448,0.022,0.014
0.449,0.025,0.015
0.45,0.016,0.01
0.451,0.016,0.01
0.452,0.006,0.007
0.453,0.009,0.003
0.454,0.002,0.004
0.455,0.002,0.003
0.456,0.006,0.004
0.457,0.001,0.002
0.458,0.015,0.012
0.459,0.054,0.038
0.46,0.04,0.027
0.461,0.009,0.001
0.462,0.027,0.012
0.463,0.017,0.009
0.464,0.017,0.008
0.465,0.012,0.006
0.466,0.009,0.006
0.467,0.013,0.008
0.468,0.015,0.008
0.469,0.015,0.007
0.47,0.015,0.0
0.471,0.023,0.001
0.472,0.013,0.004
0.473,0.013,0.006
0.474,0.002,0.01
0.475,0.0,0.008
0.476,0.004,0.006
0.477,0.007,0.002
0.478,0.022,0.011
0.479,0.058,0.034
0.48,0.044,0.027
0.481,0.001,0.003
0.482,0.021,0.012
0.483,0.015,0.009
0.484,0.022,0.011
0.485,0.019,0.007
0.486,0.014,0.006
0.487,0.017,0.006
0.488,0.017,0.004
0.489,0.017,0.008
0.49,0.008,0.003
0.491,0.008,0.006
0.492,0.003,0.005
0.493,0.001,0.005
0.494,0.007,0.001
0.495,0.001,0.001
0.496,0.004,0.0
0.497,0.004,0.002
0.498,0.014,0.012
0.499,0.051,0.035
0.5,0.04,0.026
0.501,0.004,0.0
0.502,0.019,0.01
0.503,0.011,0.007
0.504,0.015,0.006
0.505,0.01,0.003
0.506,0.007,0.002
0.507,0.017,0.007
0.508,0.019,0.004
0.509,0.02,0.006
0.51,0.019,0.005
0.511,0.018,0.009
0.512,0.009,0.005
0.513,0.004,0.003
0.514,0.007,0.001
0.515,0.003,0.001
0.516,0.002,0.001
0.517,0.002,0.001
0.518,0.018,0.01
0.519,0.055,0.037
0.52,0.045,0.028
0.521,0.0,0.004
0.522,0.017,0.013
0.523,0.011,0.006
0.524,0.016,0.01
0.525,0.014,0.008
0.526,0.014,0.006
0.527,0.016,0.007
0.528,0.017,0.007
0.529,0.02,0.009
0.53,0.017,0.008
0.531,0.017,0.008
0.532,0.012,0.005
0.533,0.009,0.004
0.534,0.006,0.003
0.535,0.006,0.001
0.536,0.003,0.0
0.537,0.002,0.002
0.538,0.016,0.014
0.539,0.057,0.04
0.54,0.046,0.029
1.4,0.07,0.035
1.401,0.002,0.013
1.402,0.017,0.018
1.403,0.007,0.011
1.404,0.02,0.014
1.405,0.013,0.008
1.406,0.017,0.01
1.407,0.019,0.009
1.408,0.018,0.007
1.409,0.02,0.007
1.41,0.019,0.006
1.411,0.02,0.008
1.412,0.009,0.004
1.413,0.006,0.003
1.414,0.009,0.001
1.415,0.005,0.005
1.416,0.008,0.001
1.417,0.002,0.001
1.418,0.037,0.023
1.419,0.091,0.06
1.42,0.053,0.032
1.421,0.023,0.01
1.422,0.037,0.019
1.423,0.026,0.011
1.424,0.029,0.016
1.425,0.02,0.009
1.426,0.024,0.009
1.427,0.024,0.012
1.428,0.017,0.01
1.429,0.019,0.012
1.43,0.011,0.01
1.431,0.015,0.013
1.432,0.005,0.007
1.433,0.008,0.006
1.434,0.002,0.004
1.435,0.01,0.0
1.436,0.013,0.001
1.437,0.012,0.006
1.438,0.029,0.032
1.439,0.088,0.066
1.44,0.048,0.038
1.441,0.023,0.006
1.442,0.037,0.018
1.443,0.022,0.01
1.444,0.031,0.016
1.445,0.024,0.012
1.446,0.024,0.012
1.447,0.019,0.012
1.448,0.016,0.011
1.449,0.018,0.013
1.45,0.012,0.007
1.451,0.015,0.006
1.452,0.011,0.0
1.453,0.012,0.001
1.454,0.007,0.007
1.455,0.017,0.0
1.456,0.012,0.001
1.457,0.012,0.002
1.458,0.026,0.03
1.459,0.086,0.065
1.46,0.047,0.034
1.461,0.028,0.01
1.462,0.039,0.022
1.463,0.019,0.016
1.464,0.022,0.018
1.465,0.015,0.014
1.466,0.016,0.016
1.467,0.02,0.017
1.468,0.014,0.015
1.469,0.017,0.011
1.47,0.013,0.004
1.471,0.018,0.007
1.472,0.011,0.0
1.473,0.008,0.004
1.474,0.0,0.01
1.475,0.001,0.001
1.476,0.002,0.002
1.477,0.001,0.004
1.478,0.041,0.03
1.479,0.105,0.063
1.48,0.064,0.031
1.481,0.008,0.014
1.482,0.023,0.018
1.483,0.007,0.008
1.484,0.016,0.016
1.485,0.013,0.008
1.486,0.023,0.012
1.487,0.026,0.013
1.488,0.019,0.009
1.489,0.019,0.007
1.49,0.011,0.004
1.491,0.009,0.008
1.492,0.0,0.003
1.493,0.001,0.001
1.494,0.014,0.007
1.495,0.005,0.002
1.496,0.006,0.003
1.497,0.0,0.002
1.498,0.036,0.027
1.499,0.095,0.061
1.5,0.05,0.032
1.501,0.022,0.015
1.502,0.032,0.021
1.503,0.014,0.012
1.504,0.021,0.019
1.505,0.008,0.011
1.506,0.015,0.01
1.507,0.018,0.009
1.508,0.021,0.006
1.509,0.027,0.009
1.51,0.022,0.009
1.511,0.025,0.009
1.512,0.016,0.005
1.513,0.012,0.003
1.514,0.003,0.003
1.515,0.004,0.002
1.516,0.002,0.0
1.517,0.004,0.0
1.518,0.037,0.025
1.519,0.092,0.061
1.52,0.054,0.033
1.521,0.016,0.015
