Time,Tibialis antelior,Gastrocnemius medialis
0.0,0.008,0.003
0.001,0.006,-0.001
0.002,0.004,-0.001
0.003,0.003,-0.001
0.004,0.005,0.001
0.005,0.007,0.001
0.006,0.007,0.003
0.007,0.009,0.0
0.008,0.006,-0.003
0.009,0.004,0.0
0.01,-0.001,-0.001
0.011,0.0,-0.001
0.012,0.0,-0.001
0.013,0.001,-0.002
0.014,0.0,-0.003
0.015,-0.002,0.0
0.016,0.0,0.0
0.017,0.005,0.0
0.018,0.004,0.001
0.019,0.007,0.003
0.02,0.009,0.004
0.021,0.006,0.006
0.022,0.003,0.005
0.023,0.001,0.002
0.024,0.006,0.001
0.025,0.006,0.003
0.026,0.01,0.004
0.027,0.009,0.003
0.028,0.007,0.001
0.029,0.004,-0.001
0.03,-0.005,-0.009
0.031,0.0,-0.007
0.032,0.0,-0.001
0.033,0.0,-0.001
0.034,-0.001,-0.001
0.035,-0.003,0.001
0.036,-0.002,0.003
0.037,0.001,0.002
0.038,0.006,0.0
0.039,0.007,0.001
0.04,0.009,0.003
0.041,0.004,0.0
0.042,0.004,0.0
0.043,0.004,0.0
0.044,0.005,0.0
0.045,0.006,-0.001
0.046,0.009,0.0
0.047,0.008,-0.002
0.048,0.005,-0.001
0.049,0.002,-0.003
0.05,-0.004,-0.004
0.051,0.001,0.0
0.052,0.001,0.0
0.053,-0.001,0.001
0.054,-0.004,0.002
0.055,-0.005,0.005
0.056,-0.001,0.007
0.057,0.004,0.008
0.058,0.006,0.002
0.059,0.006,0.0
0.06,0.008,0.001
0.061,0.004,0.001
0.062,0.006,-0.001
0.063,0.004,-0.002
0.064,0.007,-0.002
0.065,0.007,-0.003
0.066,0.011,0.0
0.067,0.011,0.0
0.068,0.007,0.001
0.069,0.003,0.002
0.07,-0.004,0.0
0.071,0.0,0.002
0.072,-0.001,0.001
0.073,0.0,0.0
0.074,-0.002,0.0
0.075,-0.006,0.001
0.076,-0.001,0.002
0.077,0.003,0.0
0.078,0.007,-0.001
0.079,0.007,-0.002
0.08,0.006,-0.001
0.081,0.006,-0.001
0.082,0.006,0.0
0.083,0.006,-0.001
0.084,0.008,0.0
0.085,0.006,0.0
0.086,0.008,0.001
0.087,0.007,0.003
0.088,0.004,0.003
0.089,0.001,0.003
0.09,-0.004,0.002
0.091,-0.001,0.003
0.092,-0.003,0.003
0.093,0.0,0.001
0.094,-0.002,0.001
0.095,-0.004,0.002
0.096,-0.002,-0.003
0.097,0.003,-0.005
0.098,0.006,-0.007
0.099,0.005,-0.005
0.1,0.006,-0.004
0.101,0.002,-0.005
0.102,0.001,0.002
0.103,0.002,0.002
0.104,0.004,0.005
0.105,0.004,0.006
0.106,0.006,0.004
0.107,0.006,0.003
0.108,0.005,-0.001
0.109,0.003,-0.002
0.11,-0.002,-0.003
0.111,0.001,-0.001
0.112,0.002,0.001
0.113,0.0,0.0
0.114,0.0,0.0
0.115,-0.003,-0.001
0.116,0.0,-0.002
0.117,0.005,-0.001
0.118,0.009,0.001
0.119,0.006,0.003
0.12,0.006,0.004
0.121,0.004,0.003
0.122,0.002,0.003
0.123,0.002,0.003
0.124,0.006,0.004
0.125,0.006,0.0
0.126,0.009,0.0
0.127,0.01,-0.001
0.128,0.006,-0.004
0.129,0.005,-0.002
0.13,-0.001,-0.003
0.131,0.0,-0.004
0.132,0.0,-0.003
0.133,0.001,-0.002
0.134,-0.002,-0.001
0.135,-0.004,0.0
0.136,-0.003,0.001
0.137,0.002,0.0
0.138,0.005,0.002
0.139,0.005,0.005
0.14,0.007,0.004
0.141,0.006,0.004
0.142,0.006,0.002
0.143,0.006,0.0
0.144,0.007,0.0
0.145,0.009,-0.001
0.146,0.01,-0.001
0.147,0.01,-0.005
0.148,0.006,-0.007
0.149,0.001,-0.009
0.15,-0.003,-0.003
0.151,0.0,-0.004
0.152,0.0,0.0
0.153,-0.001,0.001
0.154,-0.001,0.001
0.155,-0.006,0.003
0.156,-0.002,0.005
0.157,0.003,0.003
0.158,0.004,0.001
0.159,0.006,0.001
0.16,0.008,0.0
0.161,0.005,0.0
0.162,0.007,-0.001
0.163,0.003,-0.001
0.164,0.005,-0.002
0.165,0.007,0.0
0.166,0.009,0.0
0.167,0.005,0.0
0.168,0.005,0.002
0.169,0.001,0.004
0.17,-0.005,0.002
0.171,0.0,0.003
0.172,-0.002,0.004
0.173,-0.002,0.003
0.174,-0.001,0.005
0.175,-0.006,0.004
0.176,-0.004,0.002
0.177,0.003,0.0
0.178,0.006,0.0
0.179,0.006,-0.002
0.18,0.009,0.002
0.181,0.008,0.005
0.182,0.007,0.001
0.183,0.006,0.0
0.184,0.009,-0.002
0.185,0.008,-0.001
0.186,0.009,0.003
0.187,0.01,0.003
0.188,0.005,0.004
0.189,0.001,0.003
0.19,-0.003,0.002
0.191,0.0,0.005
0.192,0.001,0.003
0.193,0.0,0.001
0.194,0.0,0.0
0.195,-0.004,0.0
0.196,-0.002,0.0
0.197,0.007,-0.004
0.198,0.007,-0.004
0.199,0.007,-0.002
0.2,0.009,-0.001
0.201,0.006,0.0
0.202,0.005,0.0
0.203,0.005,0.002
0.204,0.007,0.004
0.205,0.004,0.004
0.206,0.006,0.004
0.207,0.004,0.002
0.208,0.002,0.001
0.209,0.002,0.001
0.21,-0.004,0.002
0.211,0.001,0.0
0.212,0.0,0.0
0.213,-0.001,-0.002
0.214,-0.001,-0.002
0.215,-0.003,0.0
0.216,-0.001,0.002
0.217,0.006,0.003
0.218,0.008,0.004
0.219,0.006,0.006
0.22,0.006,0.003
0.221,0.004,0.001
0.222,0.002,-0.001
0.223,0.005,0.001
0.224,0.005,0.003
0.225,0.004,0.001
0.226,0.007,0.0
0.227,0.009,-0.003
0.228,0.011,-0.004
0.229,0.005,-0.004
0.23,-0.002,-0.002
0.231,0.001,-0.001
0.232,0.001,-0.005
0.233,0.0,-0.004
0.234,0.0,-0.002
0.235,-0.004,0.002
0.236,-0.001,0.001
0.237,0.004,0.0
0.238,0.007,0.0
0.239,0.004,0.001
0.24,0.008,0.001
0.241,0.002,0.002
0.242,0.002,0.001
0.243,0.002,0.0
0.244,0.005,0.0
0.245,0.005,-0.001
0.246,0.009,-0.002
0.247,0.007,-0.002
0.248,0.006,-0.001
0.249,0.002,0.001
0.25,-0.001,0.002
0.251,0.001,0.001
0.252,0.0,0.002
0.253,0.001,0.0
0.254,0.0,-0.002
0.255,-0.002,0.001
0.256,0.0,0.003
0.257,0.005,0.007
0.258,0.009,0.005
0.259,0.008,0.002
0.26,0.007,0.003
0.261,0.006,0.0
0.262,0.006,-0.002
0.263,0.007,-0.002
0.264,0.008,-0.001
0.265,0.008,-0.004
0.266,0.012,0.0
0.267,0.008,0.0
0.268,0.008,0.001
0.269,0.004,0.003
0.27,-0.002,0.002
0.271,0.001,0.001
0.272,0.0,0.003
0.273,0.0,0.002
0.274,-0.003,0.0
0.275,-0.006,0.0
0.276,-0.002,0.0
0.277,0.004,-0.003
0.278,0.006,-0.002
0.279,0.007,-0.002
0.28,0.009,-0.003
1.0,0.01,-0.002
1.001,0.009,0.0
1.002,0.007,0.005
1.003,0.004,0.003
1.004,0.005,0.003
1.005,0.006,0.002
1.006,0.008,0.002
1.007,0.008,0.001
1.008,0.006,-0.001
1.009,0.001,-0.001
1.01,-0.001,-0.002
1.011,0.001,-0.004
1.012,-0.001,-0.005
1.013,0.0,-0.006
1.014,-0.004,-0.009
1.015,-0.006,-0.005
1.016,-0.001,-0.002
1.017,0.002,-0.007
1.018,0.005,-0.008
1.019,0.006,-0.011
1.02,0.006,-0.014
1.021,0.004,-0.018
1.022,0.003,-0.008
1.023,0.002,0.031
1.024,0.005,0.039
1.025,0.004,0.006
1.026,0.009,0.003
1.027,0.009,-0.001
1.028,0.006,0.002
1.029,0.0,-0.001
1.03,-0.002,0.0
1.031,0.002,0.004
1.032,0.0,0.002
1.033,0.0,0.003
1.034,-0.001,0.003
1.035,-0.006,0.005
1.036,-0.002,0.001
1.037,0.003,0.003
1.038,0.004,0.006
1.039,0.006,0.008
1.04,0.008,0.007
1.041,0.004,0.006
1.042,0.004,0.001
1.043,0.004,-0.006
1.044,0.005,-0.005
1.045,0.007,-0.003
1.046,0.011,-0.007
1.047,0.01,-0.006
1.048,0.008,-0.004
1.049,0.0,-0.002
1.05,-0.003,-0.006
1.051,0.0,-0.01
1.052,-0.001,-0.009
1.053,0.001,0.002
1.054,-0.004,0.008
1.055,-0.006,0.0
1.056,-0.001,-0.01
1.057,0.004,0.01
1.058,0.006,0.02
1.059,0.008,0.008
1.06,0.008,0.003
1.061,0.004,0.0
1.062,0.007,0.001
1.063,0.005,0.0
1.064,0.009,0.001
1.065,0.008,-0.001
1.066,0.009,0.003
1.067,0.008,0.001
1.068,0.004,0.004
1.069,0.0,0.003
1.07,-0.004,0.001
1.071,0.0,0.003
1.072,-0.002,0.002
1.073,-0.001,0.002
1.074,-0.004,0.003
1.075,-0.004,0.002
1.076,0.0,0.002
1.077,0.007,0.001
1.078,0.009,0.0
1.079,0.01,0.0
1.08,0.012,-0.001
1.081,0.008,0.0
1.082,0.005,0.0
1.083,0.003,0.0
1.084,0.006,0.002
1.085,0.007,0.0
1.086,0.009,0.004
1.087,0.008,0.003
1.088,0.006,0.002
1.089,0.0,0.006
1.09,-0.003,0.001
1.091,0.001,-0.005
1.092,-0.001,-0.002
1.093,0.0,0.002
1.094,-0.004,0.001
1.095,-0.004,0.003
1.096,0.0,0.002
1.097,0.004,0.0
1.098,0.007,-0.003
1.099,0.007,-0.002
1.1,0.008,-0.001
1.101,0.005,-0.002
1.102,0.005,-0.005
1.103,0.002,-0.004
1.104,0.006,-0.003
1.105,0.006,-0.002
1.106,0.008,-0.003
1.107,0.008,-0.003
1.108,0.003,-0.001
1.109,0.002,-0.002
1.11,0.0,-0.004
1.111,0.002,-0.003
1.112,0.0,-0.004
1.113,0.003,-0.003
1.114,0.001,0.001
1.115,-0.001,0.003
1.116,0.002,0.003
1.117,0.006,0.003
1.118,0.007,0.006
1.119,0.004,0.005
1.12,0.007,0.006
1.121,0.005,0.004
1.122,0.005,0.002
1.123,0.004,-0.001
1.124,0.004,0.001
1.125,0.005,-0.002
1.126,0.008,-0.005
1.127,0.005,-0.002
1.128,0.004,-0.005
1.129,-0.001,-0.005
1.13,-0.004,-0.003
1.131,0.0,0.0
1.132,-0.002,-0.001
1.133,-0.003,-0.001
1.134,-0.003,-0.001
1.135,-0.004,0.003
1.136,-0.001,0.007
1.137,0.005,0.006
1.138,0.008,0.007
1.139,0.004,0.009
1.14,0.004,0.009
1.141,0.001,0.008
1.142,0.002,0.006
1.143,0.003,0.002
1.144,0.005,-0.007
1.145,0.007,-0.014
1.146,0.011,-0.012
1.147,0.007,-0.015
1.148,0.008,-0.013
1.149,0.002,-0.014
1.15,-0.002,-0.016
1.151,-0.001,-0.022
1.152,-0.001,-0.012
1.153,-0.001,0.03
1.154,-0.003,0.044
1.155,-0.005,0.016
1.156,-0.003,0.012
1.157,0.002,0.007
1.158,0.006,0.007
1.159,0.006,0.006
1.16,0.007,0.005
1.161,0.006,0.002
1.162,0.007,0.001
1.163,0.007,0.001
1.164,0.006,0.0
1.165,0.007,-0.001
1.166,0.009,0.0
1.167,0.008,0.001
1.168,0.004,0.003
1.169,0.0,0.004
1.17,-0.004,0.002
1.171,-0.003,0.004
1.172,-0.002,0.002
1.173,-0.001,0.0
1.174,-0.001,-0.001
1.175,-0.004,0.003
1.176,-0.001,0.003
1.177,0.006,0.005
1.178,0.007,0.003
1.179,0.009,0.001
1.18,0.007,-0.008
1.181,0.004,-0.013
1.182,0.006,-0.006
1.183,0.006,-0.003
1.184,0.011,0.0
1.185,0.009,-0.003
1.186,0.01,0.001
1.187,0.006,0.002
1.188,0.005,0.0
1.189,0.0,0.0
1.19,-0.004,0.0
1.191,0.002,0.003
1.192,0.0,0.001
1.193,0.001,0.0
1.194,-0.001,-0.001
1.195,-0.005,0.0
1.196,0.0,-0.002
1.197,0.006,-0.005
1.198,0.006,-0.004
1.199,0.008,-0.001
1.2,0.009,0.0
1.201,0.005,0.001
1.202,0.008,0.003
1.203,0.006,0.002
1.204,0.009,0.007
1.205,0.006,0.003
1.206,0.009,0.0
1.207,0.008,0.003
1.208,0.004,0.002
1.209,0.002,0.003
1.21,-0.002,0.001
1.211,0.002,0.001
1.212,0.0,-0.006
1.213,0.0,-0.011
1.214,-0.002,-0.005
1.215,-0.001,0.001
1.216,0.003,0.001
1.217,0.006,-0.006
1.218,0.008,-0.002
1.219,0.008,0.002
1.22,0.009,0.001
1.221,0.007,0.005
1.222,0.004,0.006
1.223,0.006,0.004
1.224,0.008,0.001
1.225,0.007,-0.003
1.226,0.01,-0.002
1.227,0.007,-0.002
1.228,0.007,-0.004
1.229,0.003,-0.004
1.23,-0.002,-0.001
1.231,0.003,-0.001
1.232,0.001,0.0
1.233,0.0,0.0
1.234,-0.001,0.001
1.235,-0.004,0.0
1.236,0.0,0.0
1.237,0.004,0.002
1.238,0.007,0.002
1.239,0.006,0.006
1.24,0.006,0.003
1.241,0.006,0.003
1.242,0.004,0.0
1.243,0.004,-0.002
1.244,0.009,-0.002
1.245,0.008,-0.001
1.246,0.011,-0.001
1.247,0.008,-0.001
1.248,0.006,0.0
1.249,0.0,-0.002
1.25,-0.006,0.0
1.251,0.0,0.0
1.252,-0.003,0.003
1.253,-0.004,0.003
1.254,-0.006,0.005
1.255,-0.007,0.005
1.256,-0.003,0.003
1.257,0.002,-0.003
1.258,0.005,-0.004
1.259,0.007,-0.003
1.26,0.009,-0.003
1.261,0.006,0.0
1.262,0.005,0.0
1.263,0.004,0.001
1.264,0.011,0.0
1.265,0.011,-0.002
1.266,0.011,-0.009
1.267,0.01,-0.016
1.268,0.006,-0.01
1.269,0.003,-0.003
1.27,-0.005,0.003
1.271,0.0,0.003
1.272,-0.002,0.0
1.273,-0.002,0.0
1.274,-0.003,-0.001
1.275,-0.005,0.008
1.276,-0.004,-0.007
1.277,0.004,-0.009
1.278,0.006,0.014
1.279,0.006,0.012
1.28,0.008,0.002
1.281,0.007,0.001
1.282,0.006,0.003
1.283,0.006,0.003
1.284,0.007,0.002
1.285,0.008,0.006
1.286,0.011,0.006
1.287,0.008,0.007
1.288,0.004,0.005
1.289,-0.001,0.006
1.29,-0.004,0.006
1.291,-0.003,0.003
1.292,-0.004,0.001
1.293,-0.003,0.0
1.294,-0.002,0.002
1.295,-0.005,0.004
1.296,-0.001,0.0
1.297,0.005,0.0
1.298,0.004,-0.003
1.299,0.004,-0.002
1.3,0.009,0.001
1.301,0.005,0.003
1.302,0.003,0.003
1.303,0.003,0.005
1.304,0.001,0.005
1.305,0.005,0.0
1.306,0.008,0.001
1.307,0.006,0.001
1.308,0.005,0.0
1.309,0.0,-0.006
1.31,-0.004,-0.006
1.311,0.0,-0.001
1.312,-0.002,-0.005
1.313,0.002,-0.004
1.314,0.0,-0.004
1.315,-0.001,-0.001
1.316,0.002,-0.003
1.317,0.006,-0.001
1.318,0.007,0.0
1.319,0.004,0.001
1.32,0.006,0.003
1.321,0.003,0.002
1.322,0.001,0.002
1.323,0.002,0.003
1.324,0.005,0.005
1.325,0.006,0.004
1.326,0.008,0.002
1.327,0.006,0.0
1.328,0.004,-0.002
1.329,0.0,-0.004
1.33,-0.004,-0.002
1.331,-0.001,-0.001
1.332,-0.002,-0.001
1.333,-0.001,-0.003
1.334,-0.004,-0.006
1.335,-0.006,-0.003
1.336,-0.001,0.001
1.337,0.001,0.0
1.338,0.003,0.0
1.339,0.003,0.0
1.34,0.005,0.0
2.0,0.009,0.0
2.001,0.006,0.0
2.002,0.003,0.004
2.003,0.007,0.003
2.004,0.007,0.006
2.005,0.008,0.007
2.006,0.008,0.007
2.007,0.007,0.007
2.008,0.007,0.004
2.009,0.0,0.0
2.01,-0.002,-0.004
2.011,0.002,-0.008
2.012,0.002,-0.007
2.013,0.001,-0.001
2.014,0.0,0.001
2.015,-0.002,0.001
2.016,0.003,-0.001
2.017,0.007,0.0
2.018,0.006,0.002
2.019,0.007,0.004
2.02,0.006,0.002
2.021,0.003,0.002
2.022,0.003,0.003
2.023,0.006,0.002
2.024,0.006,0.003
2.025,0.005,0.001
2.026,0.008,0.0
2.027,0.006,0.0
2.028,0.005,0.0
2.029,0.0,0.0
2.03,-0.002,-0.001
2.031,-0.001,-0.002
2.032,0.001,0.0
2.033,0.0,-0.001
2.034,-0.002,0.001
2.035,-0.004,0.004
2.036,0.0,0.003
2.037,0.003,0.002
2.038,0.004,0.002
2.039,0.005,0.003
2.04,0.006,0.002
2.041,0.005,0.001
2.042,0.002,0.001
2.043,0.006,0.0
2.044,0.006,-0.001
2.045,0.007,-0.002
2.046,0.009,-0.002
2.047,0.006,-0.005
2.048,0.005,-0.001
2.049,0.0,-0.001
2.05,-0.004,0.0
2.051,0.0,0.0
2.052,-0.002,-0.001
2.053,0.0,0.001
2.054,-0.004,0.003
2.055,-0.004,0.004
2.056,0.0,0.0
2.057,0.004,0.001
2.058,0.007,0.001
2.059,0.006,0.002
2.06,0.008,0.002
2.061,0.004,0.0
2.062,0.006,0.0
2.063,0.006,-0.006
2.064,0.008,-0.011
2.065,0.007,-0.01
2.066,0.01,-0.002
2.067,0.007,0.0
2.068,0.007,0.0
2.069,0.0,0.0
2.07,0.0,0.004
2.071,0.004,0.002
2.072,0.0,-0.002
2.073,0.0,0.002
2.074,-0.003,0.004
2.075,-0.005,0.002
2.076,0.001,-0.002
2.077,0.005,-0.004
2.078,0.006,-0.002
2.079,0.007,-0.005
2.08,0.011,-0.003
2.081,0.006,-0.003
2.082,0.004,-0.001
2.083,0.004,0.0
2.084,0.006,0.001
2.085,0.008,0.003
2.086,0.008,0.004
2.087,0.007,0.003
2.088,0.003,0.002
2.089,0.0,0.001
2.09,-0.004,0.001
2.091,-0.001,0.0
2.092,-0.001,0.0
2.093,0.0,0.0
2.094,-0.004,0.0
2.095,-0.006,0.003
2.096,-0.002,-0.001
2.097,0.004,-0.001
2.098,0.009,0.0
2.099,0.008,-0.001
2.1,0.008,-0.001
2.101,0.007,0.002
2.102,0.004,0.003
2.103,0.003,0.002
2.104,0.007,0.001
2.105,0.006,0.001
2.106,0.008,0.001
2.107,0.004,0.0
2.108,0.005,-0.002
2.109,0.002,0.0
2.11,0.0,-0.001
2.111,0.001,0.0
2.112,0.0,-0.002
2.113,0.0,0.0
2.114,-0.002,0.0
2.115,-0.005,0.001
2.116,0.0,0.003
2.117,0.007,0.003
2.118,0.006,0.001
2.119,0.008,0.0
2.12,0.006,0.0
2.121,0.004,-0.001
2.122,0.004,0.004
2.123,0.003,0.003
2.124,0.007,0.001
2.125,0.007,0.001
2.126,0.008,-0.004
2.127,0.005,-0.004
2.128,0.003,-0.004
2.129,0.0,-0.004
2.13,-0.002,-0.005
2.131,0.001,-0.005
2.132,0.0,-0.006
2.133,0.0,-0.001
2.134,-0.004,0.001
2.135,-0.005,0.003
2.136,0.0,0.003
2.137,0.004,0.001
2.138,0.002,0.003
2.139,0.005,0.004
2.14,0.006,0.0
2.141,0.003,0.0
2.142,0.004,0.0
2.143,0.004,0.0
2.144,0.007,-0.001
2.145,0.008,-0.001
2.146,0.008,-0.001
2.147,0.005,0.0
2.148,0.006,-0.001
2.149,0.002,-0.001
2.15,-0.001,-0.001
2.151,0.001,0.0
2.152,0.0,0.004
2.153,0.001,0.006
2.154,-0.004,0.006
2.155,-0.006,0.005
2.156,-0.001,0.001
2.157,0.004,0.0
2.158,0.004,0.0
2.159,0.005,-0.002
2.16,0.006,-0.002
2.161,0.005,-0.002
2.162,0.005,-0.008
2.163,0.004,-0.002
2.164,0.01,0.001
2.165,0.008,0.003
2.166,0.01,0.001
2.167,0.006,-0.002
2.168,0.004,-0.002
2.169,0.002,0.001
2.17,-0.001,0.003
2.171,-0.001,0.0
2.172,-0.004,0.002
2.173,0.001,0.003
2.174,-0.006,0.0
2.175,-0.004,0.001
2.176,0.0,-0.002
2.177,0.004,-0.001
2.178,0.008,0.0
2.179,0.01,-0.001
2.18,0.01,-0.002
2.181,0.007,-0.004
2.182,0.006,-0.003
2.183,0.006,-0.005
2.184,0.008,-0.002
2.185,0.007,0.001
2.186,0.006,0.003
2.187,0.006,0.0
2.188,0.003,0.0
2.189,0.001,0.0
2.19,-0.003,0.001
2.191,0.001,0.0
2.192,0.002,-0.001
2.193,0.0,0.0
2.194,-0.002,0.0
2.195,-0.004,-0.003
2.196,0.002,-0.005
2.197,0.006,-0.003
2.198,0.008,-0.002
2.199,0.008,-0.001
2.2,0.007,0.001
2.201,0.004,0.003
2.202,0.003,0.003
2.203,0.0,0.0
2.204,0.004,0.0
2.205,0.003,0.001
2.206,0.007,0.003
2.207,0.006,0.0
2.208,0.003,0.001
2.209,-0.003,-0.001
2.21,-0.004,-0.002
2.211,-0.002,-0.002
2.212,-0.004,-0.002
2.213,-0.001,-0.001
2.214,-0.006,0.0
2.215,-0.006,0.0
2.216,0.0,0.001
2.217,0.007,0.001
2.218,0.006,0.001
2.219,0.006,0.0
2.22,0.007,-0.001
2.221,0.002,0.001
2.222,0.003,0.003
2.223,0.003,0.0
2.224,0.007,0.0
2.225,0.005,-0.001
2.226,0.01,-0.002
2.227,0.006,-0.001
2.228,0.006,-0.003
2.229,0.001,-0.003
2.23,-0.002,-0.002
2.231,0.004,-0.003
2.232,-0.001,-0.001
2.233,0.001,0.0
2.234,-0.002,0.002
2.235,-0.004,0.003
2.236,-0.001,0.005
2.237,0.006,0.006
2.238,0.004,0.005
2.239,0.004,0.007
2.24,0.004,0.008
2.241,0.003,0.005
2.242,0.004,0.004
2.243,0.003,0.0
2.244,0.007,-0.002
2.245,0.009,-0.003
2.246,0.009,0.0
2.247,0.006,-0.001
2.248,0.008,-0.001
2.249,0.0,-0.003
2.25,-0.002,-0.002
2.251,0.002,0.0
2.252,-0.001,0.0
2.253,-0.001,0.0
2.254,-0.003,0.004
2.255,-0.004,0.005
2.256,0.0,0.002
2.257,0.004,0.005
2.258,0.006,0.004
2.259,0.008,0.002
2.26,0.009,0.0
2.261,0.01,0.0
2.262,0.006,-0.001
2.263,0.007,-0.003
2.264,0.009,-0.001
2.265,0.008,0.001
2.266,0.011,0.002
2.267,0.008,0.003
2.268,0.008,0.004
2.269,0.0,0.003
2.27,-0.001,0.005
2.271,0.002,0.004
2.272,-0.002,0.005
2.273,0.0,0.003
2.274,-0.003,0.003
2.275,-0.002,0.004
2.276,0.002,0.002
2.277,0.005,0.0
2.278,0.006,0.0
2.279,0.009,0.003
2.28,0.008,0.003
2.281,0.004,0.004
2.282,0.003,0.002
2.283,0.005,0.003
