Time,Tibialis antelior,Gastrocnemius medialis
0.16,0.037,0.023
0.161,0.003,0.003
0.162,0.015,0.011
0.163,0.01,0.009
0.164,0.012,0.009
0.165,0.013,0.007
0.166,0.016,0.007
0.167,0.02,0.009
0.168,0.017,0.004
0.169,0.022,0.004
0.17,0.019,0.0
0.171,0.024,0.004
0.172,0.017,0.002
0.173,0.012,0.002
0.174,0.002,0.005
0.175,0.0,0.002
0.176,0.002,0.001
0.177,0.003,0.005
0.178,0.011,0.012
0.179,0.038,0.029
0.18,0.03,0.02
0.181,0.007,0.004
0.182,0.023,0.011
0.183,0.013,0.012
0.184,0.014,0.014
0.185,0.014,0.013
0.186,0.014,0.011
0.187,0.022,0.011
0.188,0.02,0.009
0.189,0.023,0.009
0.19,0.016,0.008
0.191,0.02,0.007
0.192,0.009,0.005
0.193,0.003,0.0
0.194,0.009,0.002
0.195,0.008,0.001
0.196,0.007,0.001
0.197,0.005,0.001
0.198,0.015,0.009
0.199,0.045,0.029
0.2,0.037,0.024
0.201,0.003,0.001
0.202,0.024,0.01
0.203,0.017,0.005
0.204,0.019,0.007
0.205,0.015,0.006
0.206,0.009,0.005
0.207,0.013,0.008
0.208,0.01,0.004
0.209,0.008,0.008
0.21,0.004,0.006
0.211,0.008,0.008
0.212,0.003,0.007
0.213,0.005,0.006
0.214,0.004,0.001
0.215,0.001,0.004
0.216,0.003,0.007
0.217,0.0,0.007
0.218,0.013,0.002
0.219,0.045,0.018
0.22,0.036,0.016
0.221,0.005,0.006
0.222,0.023,0.011
0.223,0.013,0.002
0.224,0.012,0.006
0.225,0.012,0.007
0.226,0.007,0.012
0.227,0.012,0.041
0.228,0.011,0.047
0.229,0.009,0.006
0.23,0.004,0.013
0.231,0.006,0.017
0.232,0.002,0.017
0.233,0.001,0.018
0.234,0.006,0.016
0.235,0.0,0.014
0.236,0.002,0.008
0.237,0.01,0.003
0.238,0.004,0.013
0.239,0.043,0.035
0.24,0.035,0.024
0.241,0.01,0.001
0.242,0.022,0.014
0.243,0.016,0.008
0.244,0.017,0.008
0.245,0.014,0.003
0.246,0.013,0.001
0.247,0.018,0.001
0.248,0.018,0.002
0.249,0.021,0.0
0.25,0.018,0.004
0.251,0.017,0.003
0.252,0.013,0.007
0.253,0.008,0.011
0.254,0.001,0.023
0.255,0.004,0.023
0.256,0.007,0.025
0.257,0.008,0.017
0.258,0.02,0.011
0.259,0.05,0.014
0.26,0.037,0.003
0.261,0.004,0.007
0.262,0.027,0.012
0.263,0.022,0.014
0.264,0.02,0.027
0.265,0.018,0.038
0.266,0.018,0.031
0.267,0.023,0.032
0.268,0.02,0.025
0.269,0.02,0.021
0.27,0.015,0.016
0.271,0.018,0.01
0.272,0.009,0.005
0.273,0.001,0.002
0.274,0.006,0.004
0.275,0.003,0.01
0.276,0.002,0.01
0.277,0.003,0.012
0.278,0.013,0.018
0.279,0.046,0.04
0.28,0.034,0.029
0.281,0.01,0.005
0.282,0.025,0.004
0.283,0.013,0.002
0.284,0.015,0.0
0.285,0.009,0.0
0.286,0.006,0.0
0.287,0.011,0.0
0.288,0.011,0.001
0.289,0.015,0.0
0.29,0.009,0.001
0.291,0.01,0.002
0.292,0.006,0.0
0.293,0.006,0.0
0.294,0.001,0.006
0.295,0.0,0.002
0.296,0.001,0.001
0.297,0.002,0.001
0.298,0.011,0.011
0.299,0.046,0.034
0.3,0.038,0.027
0.301,0.005,0.002
0.302,0.017,0.011
0.303,0.012,0.006
0.304,0.011,0.005
0.305,0.013,0.0
0.306,0.013,0.0
0.307,0.015,0.002
0.308,0.025,0.003
0.309,0.027,0.007
0.31,0.024,0.009
0.311,0.027,0.009
0.312,0.015,0.004
0.313,0.012,0.003
0.314,0.01,0.001
0.315,0.01,0.001
0.316,0.0,0.005
0.317,0.002,0.003
0.318,0.019,0.011
0.319,0.059,0.032
0.32,0.048,0.019
0.321,0.003,0.011
0.322,0.02,0.019
0.323,0.014,0.012
0.324,0.01,0.015
0.325,0.01,0.01
0.326,0.008,0.009
0.327,0.018,0.011
0.328,0.013,0.01
0.329,0.013,0.012
0.33,0.005,0.006
0.331,0.002,0.009
0.332,0.003,0.005
0.333,0.006,0.0
0.334,0.001,0.007
0.335,0.0,0.004
0.336,0.001,0.005
0.337,0.003,0.007
0.338,0.014,0.016
0.339,0.048,0.037
0.34,0.037,0.028
0.341,0.011,0.003
0.342,0.025,0.005
0.343,0.019,0.003
0.344,0.022,0.008
0.345,0.02,0.006
0.346,0.017,0.006
0.347,0.015,0.004
0.348,0.008,0.0
0.349,0.009,0.006
0.35,0.007,0.006
0.351,0.012,0.007
0.352,0.014,0.001
0.353,0.013,0.0
0.354,0.004,0.007
0.355,0.007,0.006
0.356,0.003,0.006
0.357,0.0,0.008
0.358,0.015,0.021
0.359,0.051,0.042
0.36,0.042,0.03
0.361,0.001,0.001
0.362,0.015,0.011
0.363,0.008,0.008
0.364,0.009,0.014
0.365,0.006,0.014
0.366,0.008,0.013
0.367,0.015,0.011
0.368,0.014,0.01
0.369,0.019,0.012
0.37,0.015,0.009
0.371,0.02,0.01
0.372,0.014,0.004
0.373,0.011,0.002
0.374,0.0,0.003
0.375,0.002,0.001
0.376,0.002,0.0
0.377,0.006,0.0
0.378,0.02,0.011
0.379,0.052,0.031
0.38,0.042,0.021
0.381,0.005,0.007
0.382,0.022,0.015
0.383,0.018,0.011
0.384,0.019,0.014
0.385,0.02,0.011
0.386,0.021,0.011
0.387,0.021,0.009
0.388,0.016,0.006
0.389,0.018,0.006
0.39,0.013,0.003
0.391,0.016,0.003
0.392,0.004,0.0
0.393,0.0,0.001
0.394,0.002,0.005
